"","Df","Deviance","Resid. Df","Resid. Dev"
"V339",1,0.0852609336428145,12852,430.51991489608
"V340",1,0.00342448024667874,12851,430.516490415833
"V341",1,0.00138952311402818,12850,430.515100892719
"V342",1,0.00648529799207154,12849,430.508615594727
"V343",1,0.0012946645377383,12848,430.507320930189
"V344",1,2.37105268752202e-09,12847,430.507320927818
"V345",1,0.000644713798919838,12846,430.506676214019
"V346",1,0.000185814554072294,12845,430.506490399465
"V347",1,0.00128985519114622,12844,430.505200544274
"V348",1,0.00229443877168478,12843,430.502906105502
"V349",1,0.000235313840448725,12842,430.502670791662
"V350",1,0.000553062998335463,12841,430.502117728664
"V351",1,0.000319025717317345,12840,430.501798702946
"V352",1,0.00313064670706353,12839,430.498668056239
"V353",1,0.00213315214710974,12838,430.496534904092
"V354",1,0.000504382916858503,12837,430.496030521175
"V355",1,0.00383096910530867,12836,430.49219955207
"V356",1,0.00676760712957503,12835,430.48543194494
"V357",1,0.0147373065290139,12834,430.470694638411
"V358",1,2.53295563084066e-05,12833,430.470669308855
"V359",1,0.00169254075501613,12832,430.4689767681
"V360",1,0.00300499323282111,12831,430.465971774867
"V361",1,0.000272004544171978,12830,430.465699770323
"V362",1,0.000550741151641887,12829,430.465149029171
"V363",1,0.00515024922805196,12828,430.459998779943
"V364",1,0.00139119466297188,12827,430.45860758528
"V365",1,0.00182811874287836,12826,430.456779466538
"V366",1,0.00168394695930374,12825,430.455095519578
"V367",1,0.0370078717382967,12824,430.41808764784
"V368",1,0.00180634862346096,12823,430.416281299216
"V369",1,0.00731096174547474,12822,430.408970337471
"V370",1,0.00396383594494409,12821,430.405006501526
"V371",1,0.00670737423041601,12820,430.398299127296
"V372",1,0.000827449154542137,12819,430.397471678141
"V373",1,0.127942461478995,12818,430.269529216662
"V374",1,0.00199638712336991,12817,430.267532829539
"V375",1,0.0018591383874309,12816,430.265673691151
"V376",1,0.00270314952541639,12815,430.262970541626
"V377",1,0.000153620830360524,12814,430.262816920796
"V378",1,0.00121543029752047,12813,430.261601490498
"V379",1,3.07433975876847e-06,12812,430.261598416158
"V380",1,0.00110144484364127,12811,430.260496971315
"V381",1,0.00219444607205332,12810,430.258302525243
"V382",1,0.000714982471095027,12809,430.257587542771
"V383",1,0.0146869891583492,12808,430.242900553613
"V384",1,0.0692511437708845,12807,430.173649409842
"V385",1,0.00391159483109504,12806,430.169737815011
"V386",1,0.0058745786086547,12805,430.163863236402
"V387",1,0.00624703787491399,12804,430.157616198528
"V388",1,0.0249549065167116,12803,430.132661292011
"V389",1,3.66485284644114e-05,12802,430.132624643482
"V390",1,0.331104105300938,12801,429.801520538181
"V391",1,0.00152602820014636,12800,429.799994509981
"V392",1,0.000101205349722022,12799,429.799893304632
"V393",1,0.00251656662874211,12798,429.797376738003
"V394",1,0.0219648767323974,12797,429.77541186127
"V395",1,0.00210433392288678,12796,429.773307527348
"V396",1,0.00963350675124275,12795,429.763674020596
"V397",1,0.0604700473881508,12794,429.703203973208
"V398",1,0.178934136937755,12793,429.52426983627
"V399",1,0.102510014386326,12792,429.421759821884
"V400",1,0.00328737767824805,12791,429.418472444206
"V401",1,0.0103945622486776,12790,429.408077881957
"V402",1,0.0304603445978842,12789,429.377617537359
"V403",1,0.397280695067536,12788,428.980336842292
"V404",1,3.73177044821205e-10,12787,428.980336841919
"V405",1,0.0110641586243787,12786,428.969272683294
"V406",1,0.0162489311834975,12785,428.953023752111
"V407",1,0.0148218336717605,12784,428.938201918439
"V408",1,0.00833051999984491,12783,428.929871398439
"V409",0,0,12783,428.929871398439
"V410",1,0.0115581058502698,12782,428.918313292589
"V411",1,0.00209361096693783,12781,428.916219681622
"V412",1,0.000321413705364648,12780,428.915898267916
"V413",1,0.0254314196220662,12779,428.890466848294
"V414",1,0.0160661270359128,12778,428.874400721258
"V415",1,0.00316911655454533,12777,428.871231604704
"V416",1,0.0119642134501419,12776,428.859267391254
"V417",1,0.0263163863411364,12775,428.832951004913
"V418",1,2.29279413588301e-06,12774,428.832948712119
"V419",1,0.007260108783953,12773,428.825688603335
"V420",1,0.0359316939743621,12772,428.78975690936
"V421",1,0.0177815304983255,12771,428.771975378862
"V422",1,0.00287220629837748,12770,428.769103172564
"V423",1,0.00175488009364244,12769,428.76734829247
"V424",1,0.0194256147834722,12768,428.747922677686
"V425",1,0.000613028093141565,12767,428.747309649593
"V426",1,0.00300659986771734,12766,428.744303049726
"V427",1,0.00105966535187463,12765,428.743243384374
"V428",0,0,12765,428.743243384374
"V429",1,0.0019276883240309,12764,428.74131569605
"V430",1,0.000780799666074472,12763,428.740534896384
"V431",1,0.00831058711787591,12762,428.732224309266
"V432",1,0.00122103916930882,12761,428.731003270096
"V433",1,0.166009736831427,12760,428.564993533265
"V434",1,0.000642709902137995,12759,428.564350823363
"V435",1,0.00880054069676817,12758,428.555550282666
"V436",1,0.00185435403949441,12757,428.553695928627
"V437",1,4.27347134746014e-05,12756,428.553653193913
"V438",1,0.0130085992757927,12755,428.540644594637
"V439",1,0.00524490625065255,12754,428.535399688387
"V440",1,0.00182515890321611,12753,428.533574529483
"V441",1,6.32689863664382e-05,12752,428.533511260497
"V442",1,0.0032143335011483,12751,428.530296926996
"V443",1,0.000132564244779587,12750,428.530164362751
"V444",1,0.017490984228516,12749,428.512673378523
"V445",1,0.0221200732951843,12748,428.490553305227
"V446",1,0.000304560665369991,12747,428.490248744562
"V447",1,0.0126264216067966,12746,428.477622322955
"V448",1,0.00110557307078807,12745,428.476516749884
"V449",1,0.0177576181564518,12744,428.458759131728
"V450",0,0,12744,428.458759131728
"V451",1,0.0147885841631705,12743,428.443970547565
"V452",1,0.00241267868381101,12742,428.441557868881
"V453",1,8.36517883726628e-05,12741,428.441474217093
"V454",1,0.00168999248700175,12740,428.439784224606
"V455",1,0.000840159560254961,12739,428.438944065045
"V456",1,0.000859752361634492,12738,428.438084312684
"V457",1,9.28707488014879e-05,12737,428.437991441935
"V458",1,0.00375057656628996,12736,428.434240865369
"V459",0,0,12736,428.434240865369
"V460",1,1.24531936762651e-07,12735,428.434240740837
"V461",1,0.383709230916338,12734,428.05053150992
"V462",1,0.000464599340716632,12733,428.05006691058
"V463",1,0.000671420883520568,12732,428.049395489696
"V464",1,5.70363709471167e-05,12731,428.049338453325
"V465",1,0.00261510366692619,12730,428.046723349658
"V466",1,0.00350687464543853,12729,428.043216475013
"V467",1,0.00118382538312289,12728,428.04203264963
"V468",1,0.00155380773082925,12727,428.040478841899
"V469",1,0.00611499825839701,12726,428.034363843641
"V470",1,0.00767638971433371,12725,428.026687453926
